2018-12-12 10:01:35 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:01:40 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:01:45 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:01:50 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:01:56 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:01:58 ERROR: CheckInputs() : tried to spend coinbase at depth 105, coinstake=1
2018-12-12 10:01:58 ERROR: AcceptToMemoryPool: : ConnectInputs failed 2a20ec54068ffc460931e683dc8f58b9d891cb5db163b1e69bf9289d9be01c6f
2018-12-12 10:02:01 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:02:06 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:02:11 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:02:16 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:02:21 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:02:26 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:02:31 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:02:37 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:02:42 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:02:47 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:02:52 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:02:57 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:03:03 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:03:08 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:03:13 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:03:18 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:03:23 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:03:29 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:03:34 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:03:39 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:03:44 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:03:49 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:03:54 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:03:59 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:04:04 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:04:09 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:04:14 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:04:19 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:04:25 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:04:30 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:04:35 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:04:40 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
